repeat,hand,regime,true_archetype,belief,ev
0,3100,after,nit,baseline,-0.009797732852921869
0,3100,after,nit,recency,0.009748720604594911
0,3200,after,nit,baseline,-0.009797732852921869
0,3200,after,nit,recency,0.009748627920063459
0,3300,after,nit,baseline,-0.009797732852921869
0,3300,after,nit,recency,0.009748564656030627
0,3400,after,nit,baseline,-0.009797732852921869
0,3400,after,nit,recency,0.009748680940943923
0,3500,after,nit,baseline,-0.009797732852921869
0,3500,after,nit,recency,0.00973687221134157
0,3600,after,nit,baseline,-0.009797732852921869
0,3600,after,nit,recency,0.009634632644197796
0,3700,after,nit,baseline,-0.009797732852921869
0,3700,after,nit,recency,0.00972515804449639
0,3800,after,nit,baseline,-0.009797732852921869
0,3800,after,nit,recency,0.009597127998349712
0,3900,after,nit,baseline,-0.009797732852921869
0,3900,after,nit,recency,0.00973261808743181
0,4000,after,nit,baseline,-0.009797732852921869
0,4000,after,nit,recency,0.009718647025013072
1,100,before,maniac,baseline,0.030766192611421668
1,100,before,maniac,recency,0.030561853601815868
1,200,before,maniac,baseline,0.030783488506353977
1,200,before,maniac,recency,0.030653939367528235
1,300,before,maniac,baseline,0.03078647894223091
1,300,before,maniac,recency,0.030770844916252305
1,400,before,maniac,baseline,0.03078648152484388
1,400,before,maniac,recency,0.030786472342396412
1,500,before,maniac,baseline,0.030786481524847652
1,500,before,maniac,recency,0.030786479370119368
1,600,before,maniac,baseline,0.030786481524847652
1,600,before,maniac,recency,0.030786481227380882
1,700,before,maniac,baseline,0.030786481524847652
1,700,before,maniac,recency,0.030786481484177685
1,800,before,maniac,baseline,0.030786481524847652
1,800,before,maniac,recency,0.030786481355001224
1,900,before,maniac,baseline,0.030786481524847652
1,900,before,maniac,recency,0.030786480168754203
1,1000,before,maniac,baseline,0.030786481524847652
1,1000,before,maniac,recency,0.030786474866395817
1,1100,before,maniac,baseline,0.030786481524847652
1,1100,before,maniac,recency,0.030786477527030964
1,1200,before,maniac,baseline,0.030786481524847652
1,1200,before,maniac,recency,0.03078648084020791
1,1300,before,maniac,baseline,0.030786481524847652
1,1300,before,maniac,recency,0.030786480419612725
1,1400,before,maniac,baseline,0.030786481524847652
1,1400,before,maniac,recency,0.03078648088933207
1,1500,before,maniac,baseline,0.030786481524847652
1,1500,before,maniac,recency,0.03078648148457599
1,1600,before,maniac,baseline,0.030786481524847652
1,1600,before,maniac,recency,0.03078648152475031
1,1700,before,maniac,baseline,0.030786481524847652
1,1700,before,maniac,recency,0.030786481524685102
1,1800,before,maniac,baseline,0.030786481524847652
1,1800,before,maniac,recency,0.030786481455006762
1,1900,before,maniac,baseline,0.030786481524847652
1,1900,before,maniac,recency,0.03078648152024656
1,2000,before,maniac,baseline,0.030786481524847652
1,2000,before,maniac,recency,0.030786481235671747
1,2100,after,nit,baseline,-0.016856336309146444
1,2100,after,nit,recency,-0.006740337768133875
1,2200,after,nit,baseline,-0.016856336309146444
1,2200,after,nit,recency,1.9241817226019198e-05
1,2300,after,nit,baseline,-0.016856336309146444
1,2300,after,nit,recency,1.4773054336544855e-05
