archetype,learn_hands,repeat,equilibrium_ev,oracle_ev,guarded_ev,unguarded_ev
maniac,400,9,0.002761328766153863,1.075108465503214,0.030786481524847524,0.18366755889787711
maniac,400,10,0.002761328766153863,1.075108465503214,0.030786481481440257,0.183667558559001
maniac,400,11,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,400,12,0.002761328766153863,1.075108465503214,0.030786481521060997,0.18366755886831576
maniac,400,13,0.002761328766153863,1.075108465503214,0.030786481524726513,0.18366755889693193
maniac,400,14,0.002761328766153863,1.075108465503214,0.03078648152414188,0.18366755889236755
maniac,1000,0,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,1,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,2,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,3,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,4,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,5,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,6,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,7,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,8,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,9,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,10,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,11,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,12,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,13,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,1000,14,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
bluff_heavy,5,0,0.0005767844784683868,0.500073960773175,0.002074025623443325,0.002074025623443325
bluff_heavy,5,1,0.0005767844784683868,0.500073960773175,0.0019655002568859103,0.0019655002568859103
bluff_heavy,5,2,0.0005767844784683868,0.500073960773175,-0.002172399916206498,-0.0034987597254740876
bluff_heavy,5,3,0.0005767844784683868,0.500073960773175,0.000788931466611284,0.000788931466611284
bluff_heavy,5,4,0.0005767844784683868,0.500073960773175,-0.0030692354003821753,-0.004740006458386986
bluff_heavy,5,5,0.0005767844784683868,0.500073960773175,0.001040537720152196,0.001040537720152196
bluff_heavy,5,6,0.0005767844784683868,0.500073960773175,0.001974474203750652,0.001974474203750652
bluff_heavy,5,7,0.0005767844784683868,0.500073960773175,0.001202107435176368,0.001202107435176368
bluff_heavy,5,8,0.0005767844784683868,0.500073960773175,-0.0004927859961092254,-0.0004927859961092254
bluff_heavy,5,9,0.0005767844784683868,0.500073960773175,0.0029888009487989767,0.0029888009487989767
bluff_heavy,5,10,0.0005767844784683868,0.500073960773175,0.015249775272032313,0.018975536510973376
bluff_heavy,5,11,0.0005767844784683868,0.500073960773175,0.001101805746826487,0.001101805746826487
bluff_heavy,5,12,0.0005767844784683868,0.500073960773175,0.001070637982156196,0.001070637982156196
bluff_heavy,5,13,0.0005767844784683868,0.500073960773175,0.0008504270417262552,0.0008504270417262552
bluff_heavy,5,14,0.0005767844784683868,0.500073960773175,0.0021559098566025087,0.0021559098566025087
bluff_heavy,20,0,0.0005767844784683868,0.500073960773175,0.004449015845694043,0.004449015845694043
bluff_heavy,20,1,0.0005767844784683868,0.500073960773175,0.0002902230879433046,0.0002902230879433046
bluff_heavy,20,2,0.0005767844784683868,0.500073960773175,0.014316248466015355,0.017515982151493664
bluff_heavy,20,3,0.0005767844784683868,0.500073960773175,0.009856280880083862,0.009856280880083862
bluff_heavy,20,4,0.0005767844784683868,0.500073960773175,0.0019488252108377097,0.0019488252108377097
bluff_heavy,20,5,0.0005767844784683868,0.500073960773175,0.004525305747818557,0.004525305747818557
bluff_heavy,20,6,0.0005767844784683868,0.500073960773175,0.0108104466458315,0.0108104466458315
bluff_heavy,20,7,0.0005767844784683868,0.500073960773175,0.0027580939517333827,0.0027580939517333827
bluff_heavy,20,8,0.0005767844784683868,0.500073960773175,0.007031871129191868,0.007031871129191868
