archetype,repeat,hands,correct,confidence,posterior_true
calling_station,6,50,True,0.711340876010415,0.8066842608249768
calling_station,6,100,True,0.9678770049678361,0.9896608544670581
calling_station,6,200,True,0.9999999981963446,0.9999999998637352
calling_station,6,400,True,0.9999999999999998,1.0
calling_station,6,800,True,1.0,1.0
calling_station,7,5,True,0.10355520285642128,0.26045119981992165
calling_station,7,10,False,0.1712023490594483,0.1847410132132882
calling_station,7,25,True,0.22122891982704218,0.4765594947867834
calling_station,7,50,True,0.8687071648345986,0.9489908141631991
calling_station,7,100,True,0.9981960094905453,0.9996639030972434
calling_station,7,200,True,0.9999997943206806,0.9999999803519349
calling_station,7,400,True,0.9999999999999104,0.9999999999999951
calling_station,7,800,True,1.0,1.0
calling_station,8,5,False,0.0662881915519975,0.21234316632730632
calling_station,8,10,False,0.40686487021190276,0.3194341529035841
calling_station,8,25,False,0.4746397904264764,0.28395409746871064
calling_station,8,50,True,0.655488483066301,0.7071656764339472
calling_station,8,100,True,0.9993053666214183,0.9998812908000911
calling_station,8,200,True,0.9999980943690225,0.9999997916297222
calling_station,8,400,True,0.9999999999967594,0.9999999999998082
calling_station,8,800,True,1.0,1.0
calling_station,9,5,False,0.31426462048146553,0.23424275979955095
calling_station,9,10,True,0.20416416847436214,0.38842830089644953
calling_station,9,25,True,0.3198323701939513,0.5896367211323126
calling_station,9,50,True,0.6691346864490757,0.8049731795389153
calling_station,9,100,True,0.999919625141096,0.999989205704308
calling_station,9,200,True,0.999999999768007,0.9999999999839351
calling_station,9,400,True,1.0,1.0
calling_station,9,800,True,1.0,1.0
calling_station,10,5,True,0.15282974319462206,0.4048195985910305
calling_station,10,10,True,0.34044844378145833,0.6259401033394048
calling_station,10,25,True,0.6687746280635893,0.8477252925466127
calling_station,10,50,True,0.9549069455729997,0.987072804041846
calling_station,10,100,True,0.9595010498750866,0.9871590730501691
calling_station,10,200,True,0.9999999998014923,0.9999999999867473
calling_station,10,400,True,1.0,1.0
calling_station,10,800,True,1.0,1.0
calling_station,11,5,False,0.14213298231744964,0.1912360129079096
calling_station,11,10,False,0.2547434266851005,0.2199190361073857
calling_station,11,25,True,0.46001037224642527,0.5763917343514221
calling_station,11,50,True,0.9245140522754728,0.9750672406358974
calling_station,11,100,False,0.6235493425048735,0.39186364804728074
calling_station,11,200,True,0.9982006109567219,0.999638904712684
calling_station,11,400,True,0.999999999968476,0.9999999999979774
calling_station,11,800,True,1.0,1.0
calling_station,12,5,False,0.09335540337136994,0.06754956945571268
calling_station,12,10,False,0.1342838781983463,0.07536936748060415
calling_station,12,25,True,0.2719610664909371,0.4565014151767808
calling_station,12,50,True,0.5048325855459399,0.6348490598257241
