repeat,hand,decay,archetype,correct,confidence
0,520,0.999,maniac,True,1.0
0,520,0.995,maniac,True,0.9999999497726639
0,520,0.99,maniac,True,0.9998637433426292
0,520,0.98,maniac,True,0.9858447113379661
0,540,1.0,maniac,True,1.0
0,540,0.999,maniac,True,1.0
0,540,0.995,maniac,True,0.9999999926518156
0,540,0.99,maniac,True,0.9999709565152984
0,540,0.98,maniac,True,0.9958301867143425
0,560,1.0,maniac,True,1.0
0,560,0.999,maniac,True,1.0
0,560,0.995,maniac,True,0.9999999901158328
0,560,0.99,maniac,True,0.9999500142116642
0,560,0.98,maniac,True,0.9923335055761359
0,580,1.0,maniac,True,1.0
0,580,0.999,maniac,True,1.0
0,580,0.995,maniac,True,0.9999998072090602
0,580,0.99,maniac,True,0.999095991590791
0,580,0.98,maniac,True,0.916787996862967
0,600,1.0,maniac,True,1.0
0,600,0.999,maniac,True,1.0
0,600,0.995,maniac,True,0.9999992387916661
0,600,0.99,maniac,True,0.9969002666343129
0,600,0.98,maniac,True,0.8326236310640998
0,620,1.0,maniac,True,1.0
0,620,0.999,maniac,True,1.0
0,620,0.995,maniac,True,0.9999998048054369
0,620,0.99,maniac,True,0.9991864319980561
0,620,0.98,maniac,True,0.9536123984701693
0,640,1.0,maniac,True,1.0
0,640,0.999,maniac,True,1.0
0,640,0.995,maniac,True,0.9999999501421882
0,640,0.99,maniac,True,0.9997640742632208
0,640,0.98,maniac,True,0.9842027979650995
0,660,1.0,maniac,True,1.0
0,660,0.999,maniac,True,1.0
0,660,0.995,maniac,True,0.9999999808080264
0,660,0.99,maniac,True,0.9998887259871276
0,660,0.98,maniac,True,0.9903249990968055
0,680,1.0,maniac,True,1.0
0,680,0.999,maniac,True,1.0
0,680,0.995,maniac,True,0.999999985333993
0,680,0.99,maniac,True,0.9999031348654238
0,680,0.98,maniac,True,0.9907180309033421
0,700,1.0,maniac,True,1.0
0,700,0.999,maniac,True,1.0
0,700,0.995,maniac,True,0.9999996709498097
0,700,0.99,maniac,True,0.9980822596610494
0,700,0.98,maniac,True,0.8774198966427913
0,720,1.0,maniac,True,1.0
0,720,0.999,maniac,True,1.0
0,720,0.995,maniac,True,0.9999999918184296
0,720,0.99,maniac,True,0.9999426019300419
0,720,0.98,maniac,True,0.9950373467060131
0,740,1.0,maniac,True,1.0
0,740,0.999,maniac,True,1.0
0,740,0.995,maniac,True,0.9999999861776342
0,740,0.99,maniac,True,0.9998906641955342
0,740,0.98,maniac,True,0.9894491056695167
0,760,1.0,maniac,True,1.0
0,760,0.999,maniac,True,1.0
0,760,0.995,maniac,True,0.9999999821830641
0,760,0.99,maniac,True,0.9998414699059345
0,760,0.98,maniac,True,0.9834701318468962
0,780,1.0,maniac,True,1.0
0,780,0.999,maniac,True,1.0
0,780,0.995,maniac,True,0.9999998294730358
0,780,0.99,maniac,True,0.9987291512262253
0,780,0.98,maniac,True,0.9062681346076528
0,800,1.0,maniac,True,1.0
0,800,0.999,maniac,True,1.0
0,800,0.995,maniac,True,0.999999979382876
0,800,0.99,maniac,True,0.9998227039302044
0,800,0.98,maniac,True,0.9847484812604341
0,820,1.0,maniac,True,1.0
0,820,0.999,maniac,True,1.0
0,820,0.995,maniac,True,0.9999999930255598
0,820,0.99,maniac,True,0.9999322807733035
0,820,0.98,maniac,True,0.9932608930690464
0,840,1.0,maniac,True,1.0
0,840,0.999,maniac,True,1.0
0,840,0.995,maniac,True,0.999999996707857
0,840,0.99,maniac,True,0.999963589970224
0,840,0.98,maniac,True,0.9959202106955677
0,860,1.0,maniac,True,1.0
0,860,0.999,maniac,True,1.0
0,860,0.995,maniac,True,0.9999999970033425
0,860,0.99,maniac,True,0.9999591458318062
0,860,0.98,maniac,True,0.9941235168349544
0,880,1.0,maniac,True,1.0
0,880,0.999,maniac,True,1.0
0,880,0.995,maniac,True,0.9999999995485076
0,880,0.99,maniac,True,0.9999918271468305
0,880,0.98,maniac,True,0.998370496373111
0,900,1.0,maniac,True,1.0
0,900,0.999,maniac,True,1.0
0,900,0.995,maniac,True,0.9999999883716335
0,900,0.99,maniac,True,0.9997616718837873
0,900,0.98,maniac,True,0.9550664949958667
0,920,1.0,maniac,True,1.0
0,920,0.999,maniac,True,1.0
0,920,0.995,maniac,True,0.9999999981088903
0,920,0.99,maniac,True,0.9999547127080477
0,920,0.98,maniac,True,0.990612248884336
0,940,1.0,maniac,True,1.0
0,940,0.999,maniac,True,1.0
0,940,0.995,maniac,True,0.9999999989052909
0,940,0.99,maniac,True,0.99996953619384
0,940,0.98,maniac,True,0.9932577189708925
0,960,1.0,maniac,True,1.0
0,960,0.999,maniac,True,1.0
0,960,0.995,maniac,True,0.9999999966475904
0,960,0.99,maniac,True,0.9999080609766501
0,960,0.98,maniac,True,0.983491236459664
0,980,1.0,maniac,True,1.0
0,980,0.999,maniac,True,1.0
0,980,0.995,maniac,True,0.9999999993194516
0,980,0.99,maniac,True,0.9999769917868089
0,980,0.98,maniac,True,0.9948318595067119
0,1000,1.0,maniac,True,1.0
0,1000,0.999,maniac,True,1.0
0,1000,0.995,maniac,True,0.9999999999011783
0,1000,0.99,maniac,True,0.999995539693343
0,1000,0.98,maniac,True,0.9985990944718639
0,1020,1.0,maniac,True,1.0
0,1020,0.999,maniac,True,1.0
0,1020,0.995,maniac,True,0.9999999999206047
0,1020,0.99,maniac,True,0.9999951173561241
0,1020,0.98,maniac,True,0.9978980553514738
0,1040,1.0,maniac,True,1.0
0,1040,0.999,maniac,True,1.0
0,1040,0.995,maniac,True,0.9999999999431918
0,1040,0.99,maniac,True,0.9999953623248359
0,1040,0.98,maniac,True,0.9975518098274759
0,1060,1.0,maniac,True,1.0
0,1060,0.999,maniac,True,1.0
0,1060,0.995,maniac,True,0.9999999997189516
0,1060,0.99,maniac,True,0.9999744523136227
0,1060,0.98,maniac,True,0.9881503527367773
0,1080,1.0,maniac,True,1.0
0,1080,0.999,maniac,True,1.0
0,1080,0.995,maniac,True,0.9999999998329452
0,1080,0.99,maniac,True,0.9999820810536363
0,1080,0.98,maniac,True,0.9914025201778933
0,1100,1.0,maniac,True,1.0
0,1100,0.999,maniac,True,1.0
0,1100,0.995,maniac,True,0.9999999999780181
0,1100,0.99,maniac,True,0.9999969337808889
0,1100,0.98,maniac,True,0.9981568771725521
0,1120,1.0,maniac,True,1.0
0,1120,0.999,maniac,True,1.0
0,1120,0.995,maniac,True,0.9999999999170428
0,1120,0.99,maniac,True,0.9999876548498818
0,1120,0.98,maniac,True,0.9935357936565216
0,1140,1.0,maniac,True,1.0
0,1140,0.999,maniac,True,1.0
0,1140,0.995,maniac,True,0.9999999999782307
0,1140,0.99,maniac,True,0.9999961603979216
0,1140,0.98,maniac,True,0.9977976311344555
0,1160,1.0,maniac,True,1.0
0,1160,0.999,maniac,True,1.0
0,1160,0.995,maniac,True,0.99999999964199
0,1160,0.99,maniac,True,0.9999436713573124
0,1160,0.98,maniac,True,0.9784196559682498
0,1180,1.0,maniac,True,1.0
0,1180,0.999,maniac,True,1.0
0,1180,0.995,maniac,True,0.9999999996274463
0,1180,0.99,maniac,True,0.9999435946180566
0,1180,0.98,maniac,True,0.981426565335423
0,1200,1.0,maniac,True,1.0
0,1200,0.999,maniac,True,1.0
0,1200,0.995,maniac,True,0.9999999999913328
0,1200,0.99,maniac,True,0.9999982468644467
0,1200,0.98,maniac,True,0.9991035621021791
0,1220,1.0,maniac,True,1.0
0,1220,0.999,maniac,True,1.0
0,1220,0.995,maniac,True,0.9999999999973581
0,1220,0.99,maniac,True,0.9999992930898007
0,1220,0.98,maniac,True,0.9994879993552216
0,1240,1.0,maniac,True,1.0
0,1240,0.999,maniac,True,1.0
0,1240,0.995,maniac,True,0.9999999999915938
0,1240,0.99,maniac,True,0.9999970872941596
0,1240,0.98,maniac,True,0.9973258125112355
0,1260,1.0,maniac,True,1.0
0,1260,0.999,maniac,True,1.0
0,1260,0.995,maniac,True,0.9999999999781033
0,1260,0.99,maniac,True,0.9999915310187837
0,1260,0.98,maniac,True,0.9927303224086116
0,1280,1.0,maniac,True,1.0
0,1280,0.999,maniac,True,1.0
0,1280,0.995,maniac,True,0.9999999999525869
0,1280,0.99,maniac,True,0.9999817860249836
0,1280,0.98,maniac,True,0.9876485786784815
0,1300,1.0,maniac,True,1.0
0,1300,0.999,maniac,True,1.0
0,1300,0.995,maniac,True,0.9999999996534857
0,1300,0.99,maniac,True,0.999895971383779
0,1300,0.98,maniac,True,0.9596350924653572
0,1320,1.0,maniac,True,1.0
0,1320,0.999,maniac,True,1.0
0,1320,0.995,maniac,True,0.9999999964345038
0,1320,0.99,maniac,True,0.9993255428325395
0,1320,0.98,maniac,True,0.8860016703358927
0,1340,1.0,maniac,True,1.0
0,1340,0.999,maniac,True,1.0
0,1340,0.995,maniac,True,0.9999999979607784
0,1340,0.99,maniac,True,0.9997132091302066
0,1340,0.98,maniac,True,0.9614617421118954
0,1360,1.0,maniac,True,1.0
0,1360,0.999,maniac,True,1.0
0,1360,0.995,maniac,True,0.9999999734065345
0,1360,0.99,maniac,True,0.9977471852145541
0,1360,0.98,maniac,True,0.8494773014980015
0,1380,1.0,maniac,True,1.0
0,1380,0.999,maniac,True,1.0
0,1380,0.995,maniac,True,0.999999998775921
0,1380,0.99,maniac,True,0.9998966917359118
0,1380,0.98,maniac,True,0.9898476918873791
0,1400,1.0,maniac,True,1.0
0,1400,0.999,maniac,True,1.0
0,1400,0.995,maniac,True,0.9999999998204522
0,1400,0.99,maniac,True,0.9999846033085628
0,1400,0.98,maniac,True,0.9980231935466202
0,1420,1.0,maniac,True,1.0
0,1420,0.999,maniac,True,1.0
0,1420,0.995,maniac,True,0.9999999998798574
0,1420,0.99,maniac,True,0.9999882401669161
0,1420,0.98,maniac,True,0.9977411972308842
0,1440,1.0,maniac,True,1.0
0,1440,0.999,maniac,True,1.0
0,1440,0.995,maniac,True,0.999999999863299
0,1440,0.99,maniac,True,0.9999865432076162
0,1440,0.98,maniac,True,0.9971517128858394
0,1460,1.0,maniac,True,1.0
0,1460,0.999,maniac,True,1.0
0,1460,0.995,maniac,True,0.9999999998695293
0,1460,0.99,maniac,True,0.9999860116139674
0,1460,0.98,maniac,True,0.9964446164387337
0,1480,1.0,maniac,True,1.0
0,1480,0.999,maniac,True,1.0
0,1480,0.995,maniac,True,0.9999999995180038
0,1480,0.99,maniac,True,0.9999493727483032
0,1480,0.98,maniac,True,0.9876698233178447
0,1500,1.0,maniac,True,1.0
0,1500,0.999,maniac,True,1.0
