hand,regime,true_archetype,map_estimate,correct,confidence,posterior_true,lambda_applied,window_chips_per_100,repeat
2480,after,nit,maniac,False,1.0,0.0,0.0586316889432405,55.0,0
2500,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-65.0,0
2520,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-10.0,0
2540,after,nit,maniac,False,1.0,0.0,0.0586316889432405,15.0,0
2560,after,nit,maniac,False,1.0,0.0,0.0586316889432405,95.0,0
2580,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-40.0,0
2600,after,nit,maniac,False,1.0,0.0,0.0586316889432405,160.0,0
2620,after,nit,maniac,False,0.9999999999999937,0.0,0.05863168894324015,0.0,0
2640,after,nit,maniac,False,0.9999999999958037,0.0,0.05863168894298579,-105.0,0
2660,after,nit,maniac,False,0.9999999997062925,0.0,0.05863168892530679,-90.0,0
2680,after,nit,maniac,False,0.9999999552619964,0.0,0.058631686183504665,-180.0,0
2700,after,nit,maniac,False,0.9997891463860212,0.0,0.05861816698340215,-25.0,0
2720,after,nit,maniac,False,0.8846752024532938,0.0,0.061750883599125686,55.0,0
2740,after,nit,bluff_heavy,False,0.9897705160408612,0.0,0.05248485284676284,50.0,0
2760,after,nit,bluff_heavy,False,0.9999744555036422,0.0,0.05192123724861018,-40.0,0
2780,after,nit,bluff_heavy,False,0.9999999934317415,0.0,0.051922170171997,5.0,0
2800,after,nit,bluff_heavy,False,0.9999999998639005,0.0,0.05192217044556899,-20.0,0
2820,after,nit,bluff_heavy,False,0.9999999999997805,0.0,0.05192217045154668,-55.0,0
2840,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,20.0,0
2860,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-75.0,0
2880,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-115.0,0
2900,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,90.0,0
2920,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-80.0,0
2940,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-95.0,0
